peer,cid,filesAsStr
12D3KooWN3m3uHKF8oMU5cd8GbQUvpFpy2Y9GdNqt1Zx7nLQHSq3,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWP2zTYrKQGidQnqdnbs5F87h3V8Tdnj7r857zZYTvbsN4,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWCCSQ4f5M5oVs8MQnp9nzpF6Uee5wn1M14on6vxct3mza,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWR3QYaiNeikzED1sy1VaPzhKVfMk6HkoYA28ALtbxBhpx,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWNwRazEX1ZfMVFFoBvUF6Ey8s7Ygu77RjPj55jDJ2DJF5,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWGdDz5Fy4q69wuMhaGSiLVskL7tFnX3uXbmUne7JVNX2a,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWDAfv2otrqwX54Q4Zn63GbGfbmBDQwm1rgigWaCkPjgF8,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWSSD34ZQMi5cWk3X1e3wsPaSvS2okMLCw7SH8j4DxeH3B,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWM1C4rhjuaaxQjuAXAmy5bEJ4ittHT9Gj83jSwbFME8tc,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWQU9ywX4NApRyzY2jbof7ZtLNKztjNc92MDzV8LP397t5,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWFB9DpFn8ZzX6ktfUmtTATjkMx1DonzM5MMjyYhabEJQy,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
QmUzMBzCXyYfSzVMGHf9H2dHnwkx1FyEXc2NfExrhQFYET,,
12D3KooWDxxbMK5GF4PtS6B5wDunTTa8EVboSCTFDTZcN5Qou9Ua,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWGu8jg8pzpYBthbzMgQ27WfhUdYbR8BZAzuGCbUjuBMXS,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWEpPKP66hMkz9SdPFa3RGXXQrmSj5ArQqYzkycZRbTKTD,QmSHR5wNWmNdjNZ5RDffjcjbNQawNX5AqBauGcgbhJERf1,"nsw.csv,qld.csv,vic.csv,"
12D3KooWNbYq2QFrg64JPdvt9eygRTDjpGF873VP9bQvxuyMgvFc,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
QmYGVgGGfD5N4Xcc78CcMJ99dKcH6K6myhd4Uenv5yJwiJ,QmauhUbPerCeRjJAbPCoDAdASuzWJ9sMrx5k7FUPeSQDyU,"CODE_OF_CONDUCT.md,LICENSE,config.js,style.css,debug.html,ARCHITECTURE.md,DEPLOYMENT.md,OVERVIEW.md,PHILOSOPHY.md,favicon.ico,Audio-by-Saepul-Nahwan-ID-CCBY-The-Noun-Project-1825201.svg,Ball-by-Ricki-Tri-Putra-ID-CCBY-The-Noun-Project-2717454.svg,Cannon-by-Vectors-Market-CCBY-The-Noun-Project-2054657.svg,Content-by-Graphic-Tigers-CCBY-The-Noun-Project-1000735.svg,Earth-by-Wawan-Hermawan-ID-CCBY-The-Noun-Project-1012670.svg,Image-by-thiyagu-IN-CCBY-The-Noun-Project-99740.svg,Video-by-William-CCBY-The-Noun-Project-1980706.svg,favicon.ico,index.html,gun.js,ipfs.js,sea.js,webrtc.js,package.json,alt-fetch.js,any-of.js,cache.js,fetch.js,gun-ipfs.js,ipns-ipfs.js,samizdat.js,docker-compose.yml,package.json,samizdat.js,service-worker.js,"
12D3KooWDYWyEnNgMRXSis5jpdVVq2Phu5FJgwrbGWC2zoqj1Ufo,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWS99Ct6kfMfUuwYofQSgKEvwhPBh9BNWkhgioMbouMayB,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWJvB6QJ2R3jbFB1W49Fm6s1wDwnazvaKQ6wn8vvMjas6m,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWH7yNrm46nDFjWnNy9LvN8G4t8d73KwdKvrfMsT87WCuV,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooW9yKJU7yXFCczuStmzAYaiuiKAgoEgUnsqLuKTifAbces,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWNjwpie9XVNrMP6oun7421X8J4TTDbJCoxs8nctVRscLC,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
QmUoVg1iTnvs2RX3gNZPJUTzsBgVGx1Xku8qHNqZwkcRav,,
12D3KooWR4RHMR76Rej7pKA1iQRa9L4u91RdoFQDnf9F94g3Qeji,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWEbtpN5F2jqtEUQZnveRgsE3kWSyZbCtzgwc8XPEvvKGa,QmbhXhzx9eY9e5QpbeDXQ2ozk9KgdJ7VALgfXRCbohtsD5,"text/plain; charset=utf-8,"
12D3KooWJSEueqUdDLah543NWpS8riAxg2raqJGStf7LWsaY3pAx,,
QmYMFj6Y9vvhSyRGcYRba9L8MMUV6DZAMNBw48tK1uuAqT,,
12D3KooWAFMWASWrrDvVu9jyEWmAoch3Z1d5Q5r3V33FreraHB8Q,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWMkmfXu7qDNV1cQCKUU8tQnkXFZuvtyDfpaQ8GQiJTXqe,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWKqTgs8BLZfBZT8tvGfeuVn1JEezFmS4dndE6J3BLbvWn,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWDwSRm6qrHVzmM47U3n3SmBRwA3Zog1EQj8cLHmRHio3Y,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWNGjG5RnNvobvng7FV5adr7wiRLj7QAJ2AHwnBZLzQr1x,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWRMQwT7pehyNzauGY468oCkm93syZQnw6ZXXMKN1Uahw2,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWGGxR33f2zvcyRirFMezaZK1nPFVKiyaH4HmevAG26vE7,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWPHcLmzRmTuFSMsVaEbKFqHBHrSNLMtDspZB4gPF843Pc,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWBKR3ZGcKZcy2yMcpuNxyw5q7d39zGVqaiRjPHphBgzKP,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWMmAbVeejL89pdgpYuLtZ8Lk79b59tvadYyuhrLSNHLZa,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
QmQc43G3jCRueKvABnk6YzugKzEEo4bhm3EnenvLosMPZv,,
12D3KooWQ6zS2PPMR3sbZYwV9KQGaZNnpbNrzeZp9xCKFjuRVajR,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
QmTUg5e2Be5RBKiAVtcC5FiTUnk1c8yG8zrmNpYLzFqpWM,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWNg8tUCt8SHL3PX99e44z7xsfwEeF3yN39RQFoxaf2B1Z,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWA2T4jpR8RzAogEkTacnqSnyngyN8JJmSohEoQjAfdDRd,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWQis3pJeKfpx5C6jRhLsfJPjtKxX49A6RnTd4KKCYDRBh,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWDbeULzLoPgDt75v7jbWpX8h3VzCQUPX2stWoycYFCDGo,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWMVu4aW6Qsku3twj2WxSdyQT3ogifRAWXwe98YwuBqmJr,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWJS9o9n8xwBJxcEGmsnruYyxfEjyrhaKEm8f1Ns1kJFc6,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWBkXoDHvHgHBLmmWYZrY2qRSjJxW3rq1tpT7pTEHZMYAG,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWPyGz5Z1Mdi1bw6ZuxXDne89pwBfjTvK65NiiMxy86ZY9,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWJ77Ud6eRd4ssmVAub7DvExowLD2nSgPf9ambboJStWH8,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWGWsTzGhvqidRfMKBbYSJapBhjhskgg3unFeTCaRpvR8M,QmUQ3LAbvQkn628eGti12ov538cNjsa1zkGZKnYxw94ake,"ChangePassword.fef0569d.js,DateTimeComponent.155bfb86.js,DepositPage.3cda0f1a.js,ErrorNotFound.87c138d4.js,ForgetPassword.bd684989.js,IndexPage.baff1f2e.js,IndexPage.daf781ab.css,InputField.b82bcf29.js,LoginPage.88f49998.js,MainLayout.a834cbf5.css,MainLayout.eefb3b21.js,PlaySummary.cca06754.js,ProfilePage.00f40ed6.js,PromotionsPage.fee7940a.js,QExpansionItem.d63e45da.js,QImg.06d7c967.js,QItemLabel.d310eb68.js,QMenu.597e2fb5.js,QPage.df88bef2.js,QScrollObserver.d53d179c.js,QSelect.e916c722.js,QSpinnerIos.f06956c1.js,SignupPage.e97709c7.js,TouchPan.3cd4e2e3.js,WitDepSummary.c1685b3f.js,WithdrawPage.696c3638.js,Yoda.f08491d4.js,day.42120962.js,i18n.dff5bbab.js,icons.fe728289.js,index.e257c3ef.js,index.e89a9fca.css,selectDropdown.fd7f0e37.js,setLocale.8ad60072.js,use-fullscreen.1b367012.js,use-meta.3a93a559.js,use-quasar.e6adf415.js,vue-horizontal.a1fd731a.js,vue-horizontal.es.65a6f9de.js,vue-i18n.esm-bundler.a5760b59.js,favicon.ico,icons.css,icons.woff,icons.woff2,apple-icon-120x120.png,apple-icon-152x152.png,apple-icon-167x167.png,apple-icon-180x180.png,Arcade.svg,Favorite.svg,Fish.svg,Livecasino.svg,Poker.svg,Slots.svg,Sports.svg,Table.svg,favicon-128x128.png,favicon-16x16.png,favicon-32x32.png,favicon-96x96.png,icon-128x128.png,icon-192x192.png,icon-256x256.png,icon-384x384.png,icon-512x512.png,ms-icon-144x144.png,safari-pinned-tab.svg,index.html,robots.txt,"
12D3KooWRdXqLU849wtfBTAwA49Ys4dFUW4re4mw1qQrttHD6oi5,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWHAvQaZQmfNUfCZTWLnWkS3uGeFfF9kXzjXBNP2znm4gm,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWPXRTxfUpdLM8SZoTSu2ScakWoP1uC3LrfNWsUW4RfVuA,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWQsJaVGtjsUNd6Ej9Doe3sx4MTBQH7qMjw9qdgogFDpXU,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWH2aLQkLhavFvFRo7ht6NUf3nmz7DUeyn7YKmoTaNpip8,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWFHozQDRdtrQXzAzZWunR1tJxnj4nFY3hwK892Z9wTDdu,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWQABkc1y63LHWkB1BQYtbct5gcgwvnRQPL9H6kWMJUDfM,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWDd7uVjs45jebWzCG5zSU1orq15DbYsh72tGAN5b6dzyU,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWFHYV91XucAbTAvD6n6v5K6vA8wxp7VgtpK2NSoGy2zsv,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooW9ycupSVPfo2VSiA5RgTmdjdc7bY9c4QazabY6bK3XT4k,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWEnDbsjQGPAweXZ5YGqowrsku7W5RiiZ7vDyacPDame6Y,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWBZv9t9fq9ssUwrzmMxugtBxWoKvHSaoF9rA5baVAFhgq,,
12D3KooWDuZW8nFoRgih7h92Q3bcnrKL9tyj5CLt5MbHYA3hStdQ,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWJgsrHM3ceffWuK7K6As5fBkUxw7e3o3JmhT8DGEmg2x8,,
12D3KooWR7XVsbgA4fzy7VktcDiFEErsBUkoPfmUpHaTg1i6KXZY,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWJQE1SyG3ohYKGsz67dAjuESkLejtta2MzbPRqAPtKwDc,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
12D3KooWRrLRBATDaxCPp3eP7iHKR6HuZ8bNoVJqrK82qC83fs5G,QmUNLLsPACCz1vLxQVkXqqLX5R1X345qqfHbsf67hvA3Nn,
